漢字,発音,意味
嫌な,いやな,unpleasant
防,ぼう,prevention
防御,ぼうぎょ,defense
振り,ふり,approach; technique
極,きょく,maximize
特化,とっか,specialization
押し付ける,おしつける,to force (something を) upon someone
溜息,ためいき,sigh
吐く,はく,to breathe out; to vomit
振り回す,ふりまわす,to swing around
検,けん,sword
杖,つえ,cane; staff
数,かず・すう,number
描く,かく,to draw
鮮やかな,あざやかな,brilliant; vivid
色鮮やかな,いろあざやかな,brightly colored
